0.999485 (0.000074) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}
0.999491 (0.000086) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}
0.999462 (0.000101) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}
0.999415 (0.000071) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}
0.999462 (0.000091) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}
0.999503 (0.000116) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}
0.999380 (0.000083) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}
0.999427 (0.000095) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}
0.999479 (0.000101) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}
0.999409 (0.000095) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 30, 'n_estimators': 10}
0.999368 (0.000038) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 30, 'n_estimators': 50}
0.999409 (0.000104) with: {'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 30, 'n_estimators': 100}
0.999438 (0.000052) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}
0.999467 (0.000102) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}
0.999497 (0.000093) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
0.999444 (0.000030) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}
0.999467 (0.000072) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}
0.999467 (0.000102) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}
0.999386 (0.000066) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}
0.999467 (0.000065) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}
0.999462 (0.000086) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}
0.999362 (0.000071) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 30, 'n_estimators': 10}
0.999386 (0.000108) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 30, 'n_estimators': 50}
0.999409 (0.000104) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 30, 'n_estimators': 100}
0.999421 (0.000100) with: {'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 10}
