Best: 0.8330952380952381 using {'leaf_size': 1, 'n_neighbors': 1, 'p': 2}
0.7145238095238096 - {'leaf_size': 1, 'n_neighbors': 1, 'p': 1}
0.8330952380952381 - {'leaf_size': 1, 'n_neighbors': 1, 'p': 2}
0.5933333333333334 - {'leaf_size': 1, 'n_neighbors': 2, 'p': 1}
0.7928571428571429 - {'leaf_size': 1, 'n_neighbors': 2, 'p': 2}
0.5995238095238096 - {'leaf_size': 1, 'n_neighbors': 3, 'p': 1}
0.8007142857142857 - {'leaf_size': 1, 'n_neighbors': 3, 'p': 2}
0.5735714285714286 - {'leaf_size': 1, 'n_neighbors': 4, 'p': 1}
0.7897619047619048 - {'leaf_size': 1, 'n_neighbors': 4, 'p': 2}
0.5678571428571428 - {'leaf_size': 1, 'n_neighbors': 5, 'p': 1}
0.7895238095238095 - {'leaf_size': 1, 'n_neighbors': 5, 'p': 2}
0.5604761904761905 - {'leaf_size': 1, 'n_neighbors': 6, 'p': 1}
0.7797619047619048 - {'leaf_size': 1, 'n_neighbors': 6, 'p': 2}
0.5421428571428571 - {'leaf_size': 1, 'n_neighbors': 7, 'p': 1}
0.7892857142857144 - {'leaf_size': 1, 'n_neighbors': 7, 'p': 2}
0.5257142857142857 - {'leaf_size': 1, 'n_neighbors': 8, 'p': 1}
0.7819047619047619 - {'leaf_size': 1, 'n_neighbors': 8, 'p': 2}
0.5223809523809524 - {'leaf_size': 1, 'n_neighbors': 9, 'p': 1}
0.7821428571428571 - {'leaf_size': 1, 'n_neighbors': 9, 'p': 2}
0.7145238095238096 - {'leaf_size': 2, 'n_neighbors': 1, 'p': 1}
0.8330952380952381 - {'leaf_size': 2, 'n_neighbors': 1, 'p': 2}
0.5933333333333334 - {'leaf_size': 2, 'n_neighbors': 2, 'p': 1}
0.7928571428571429 - {'leaf_size': 2, 'n_neighbors': 2, 'p': 2}
0.5995238095238096 - {'leaf_size': 2, 'n_neighbors': 3, 'p': 1}
0.8007142857142857 - {'leaf_size': 2, 'n_neighbors': 3, 'p': 2}
0.5735714285714286 - {'leaf_size': 2, 'n_neighbors': 4, 'p': 1}
0.7897619047619048 - {'leaf_size': 2, 'n_neighbors': 4, 'p': 2}
0.5678571428571428 - {'leaf_size': 2, 'n_neighbors': 5, 'p': 1}
0.7895238095238095 - {'leaf_size': 2, 'n_neighbors': 5, 'p': 2}
0.5604761904761905 - {'leaf_size': 2, 'n_neighbors': 6, 'p': 1}
0.7797619047619048 - {'leaf_size': 2, 'n_neighbors': 6, 'p': 2}
0.5421428571428571 - {'leaf_size': 2, 'n_neighbors': 7, 'p': 1}
0.7892857142857144 - {'leaf_size': 2, 'n_neighbors': 7, 'p': 2}
0.5257142857142857 - {'leaf_size': 2, 'n_neighbors': 8, 'p': 1}
0.7819047619047619 - {'leaf_size': 2, 'n_neighbors': 8, 'p': 2}
0.5223809523809524 - {'leaf_size': 2, 'n_neighbors': 9, 'p': 1}
0.7821428571428571 - {'leaf_size': 2, 'n_neighbors': 9, 'p': 2}
0.7145238095238096 - {'leaf_size': 3, 'n_neighbors': 1, 'p': 1}
0.8330952380952381 - {'leaf_size': 3, 'n_neighbors': 1, 'p': 2}
0.5933333333333334 - {'leaf_size': 3, 'n_neighbors': 2, 'p': 1}
0.7928571428571429 - {'leaf_size': 3, 'n_neighbors': 2, 'p': 2}
0.5995238095238096 - {'leaf_size': 3, 'n_neighbors': 3, 'p': 1}
0.8007142857142857 - {'leaf_size': 3, 'n_neighbors': 3, 'p': 2}
0.5735714285714286 - {'leaf_size': 3, 'n_neighbors': 4, 'p': 1}
0.7897619047619048 - {'leaf_size': 3, 'n_neighbors': 4, 'p': 2}
0.5678571428571428 - {'leaf_size': 3, 'n_neighbors': 5, 'p': 1}
0.7895238095238095 - {'leaf_size': 3, 'n_neighbors': 5, 'p': 2}
0.5604761904761905 - {'leaf_size': 3, 'n_neighbors': 6, 'p': 1}
0.7797619047619048 - {'leaf_size': 3, 'n_neighbors': 6, 'p': 2}
0.5421428571428571 - {'leaf_size': 3, 'n_neighbors': 7, 'p': 1}
0.7892857142857144 - {'leaf_size': 3, 'n_neighbors': 7, 'p': 2}
0.5257142857142857 - {'leaf_size': 3, 'n_neighbors': 8, 'p': 1}
0.7819047619047619 - {'leaf_size': 3, 'n_neighbors': 8, 'p': 2}
0.5223809523809524 - {'leaf_size': 3, 'n_neighbors': 9, 'p': 1}
0.7821428571428571 - {'leaf_size': 3, 'n_neighbors': 9, 'p': 2}
